"id","department_id","department_name","department_short","course_id","course_name","semester_id","semester_name","exam_type_id","exam_type_name","submissions_count","created_at","source_url"
"1152","7","CIS","CIS","168","Introduction To Industry 4.0","13","Fall 25","2","Final","1","2026-04-24T08:47:40.000000Z","https://diuqbank.com/questions/1152"
"1153","2","Electrical & Electronic Engineering","EEE","7","Linear Algebra and Complex variable","22","Spring 26","3","Quiz","1","2026-04-24T10:42:15.000000Z","https://diuqbank.com/questions/1153"
"1154","2","Electrical & Electronic Engineering","EEE","8","Electrical Circuits II","22","Spring 26","3","Quiz","1","2026-04-24T11:01:20.000000Z","https://diuqbank.com/questions/1154"
"1155","4","Software Engineering","SWE","202","Computer Fundamentals","10","Spring 25","3","Quiz","1","2026-04-24T15:45:04.000000Z","https://diuqbank.com/questions/1155"
"1156","4","Software Engineering","SWE","92","Software Requirement & Specifications ","10","Spring 25","2","Final","1","2026-04-24T16:30:46.000000Z","https://diuqbank.com/questions/1156"
"1157","4","Software Engineering","SWE","183","Computer Architecture","22","Spring 26","2","Final","8","2026-04-25T04:54:43.000000Z","https://diuqbank.com/questions/1157"
"1158","4","Software Engineering","SWE","92","Software Requirement & Specifications ","22","Spring 26","2","Final","4","2026-04-25T04:59:33.000000Z","https://diuqbank.com/questions/1158"
"1159","1","Computer Science & Engineering","CSE","17","Data communication","22","Spring 26","2","Final","4","2026-04-25T05:03:30.000000Z","https://diuqbank.com/questions/1159"
"1160","9","TE","TE","245","Textile Testing and Quality Control I","22","Spring 26","2","Final","1","2026-04-25T05:36:52.000000Z","https://diuqbank.com/questions/1160"
"1161","4","Software Engineering","SWE","94","Mathematic II","22","Spring 26","2","Final","3","2026-04-25T07:24:04.000000Z","https://diuqbank.com/questions/1161"
"1162","1","Computer Science & Engineering","CSE","29","Operating Systems","22","Spring 26","2","Final","1","2026-04-25T08:02:52.000000Z","https://diuqbank.com/questions/1162"
"1163","1","Computer Science & Engineering","CSE","120","Social and Professional Issues in Computing","22","Spring 26","2","Final","2","2026-04-25T08:12:29.000000Z","https://diuqbank.com/questions/1163"
"1164","2","Electrical & Electronic Engineering","EEE","101","Energy Conversion-I","22","Spring 26","2","Final","1","2026-04-25T08:56:14.000000Z","https://diuqbank.com/questions/1164"
"1165","1","Computer Science & Engineering","CSE","9","Mathematics I","22","Spring 26","2","Final","4","2026-04-25T11:03:20.000000Z","https://diuqbank.com/questions/1165"
"1166","1","Computer Science & Engineering","CSE","15","Numerical Methods ","22","Spring 26","2","Final","2","2026-04-25T11:49:44.000000Z","https://diuqbank.com/questions/1166"
"1167","1","Computer Science & Engineering","CSE","6","Programming and Problem Solving","22","Spring 26","2","Final","2","2026-04-25T12:45:18.000000Z","https://diuqbank.com/questions/1167"
"1168","1","Computer Science & Engineering","CSE","14","Discrete Mathematics","22","Spring 26","2","Final","1","2026-04-25T12:53:40.000000Z","https://diuqbank.com/questions/1168"
"1169","2","Electrical & Electronic Engineering","EEE","7","Linear Algebra and Complex variable","22","Spring 26","2","Final","3","2026-04-25T14:02:30.000000Z","https://diuqbank.com/questions/1169"
"1170","4","Software Engineering","SWE","223","Introduction to Data Science and Data Management & Analysis","22","Spring 26","2","Final","1","2026-04-25T17:54:10.000000Z","https://diuqbank.com/questions/1170"
"1171","2","Electrical & Electronic Engineering","EEE","8","Electrical Circuits II","22","Spring 26","2","Final","3","2026-04-25T22:48:01.000000Z","https://diuqbank.com/questions/1171"
"1172","7","CIS","CIS","85","Data Structures","22","Spring 26","3","Quiz","1","2026-04-26T01:59:18.000000Z","https://diuqbank.com/questions/1172"
"1173","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","22","Spring 26","2","Final","3","2026-04-26T04:22:55.000000Z","https://diuqbank.com/questions/1173"
"1174","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","22","Spring 26","3","Quiz","6","2026-04-26T04:24:52.000000Z","https://diuqbank.com/questions/1174"
"1175","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","11","Summer 25","2","Final","1","2026-04-26T04:27:49.000000Z","https://diuqbank.com/questions/1175"
"1176","1","Computer Science & Engineering","CSE","115","Computer Graphics","22","Spring 26","2","Final","4","2026-04-26T05:05:33.000000Z","https://diuqbank.com/questions/1176"
"1177","4","Software Engineering","SWE","88","English I","22","Spring 26","2","Final","2","2026-04-26T07:22:34.000000Z","https://diuqbank.com/questions/1177"
"1178","4","Software Engineering","SWE","117","Introduction to software engineering - SE113","22","Spring 26","1","Mid","2","2026-04-26T07:27:04.000000Z","https://diuqbank.com/questions/1178"
"1179","4","Software Engineering","SWE","72","Computer Fundamentals","22","Spring 26","1","Mid","2","2026-04-26T07:28:32.000000Z","https://diuqbank.com/questions/1179"
"1180","4","Software Engineering","SWE","79","Bangladesh Studies","22","Spring 26","1","Mid","2","2026-04-26T07:29:52.000000Z","https://diuqbank.com/questions/1180"
"1181","1","Computer Science & Engineering","CSE","2","Data Structures","22","Spring 26","2","Final","2","2026-04-26T07:50:24.000000Z","https://diuqbank.com/questions/1181"
"1182","4","Software Engineering","SWE","45","Theory of Computing ","22","Spring 26","2","Final","3","2026-04-26T08:18:56.000000Z","https://diuqbank.com/questions/1182"
"1183","4","Software Engineering","SWE","45","Theory of Computing ","11","Summer 25","2","Final","1","2026-04-26T08:51:39.000000Z","https://diuqbank.com/questions/1183"
"1184","10","NFE","NFE","139","Introduction to food science and technology","22","Spring 26","2","Final","4","2026-04-26T09:01:58.000000Z","https://diuqbank.com/questions/1184"
"1185","8","GEB","GEB","185","Animal and Human Physiology","22","Spring 26","2","Final","1","2026-04-26T10:56:54.000000Z","https://diuqbank.com/questions/1185"
"1186","1","Computer Science & Engineering","CSE","24","Math for Computer Science","22","Spring 26","2","Final","1","2026-04-26T11:55:13.000000Z","https://diuqbank.com/questions/1186"
"1187","4","Software Engineering","SWE","195","Introduction to Machine Learning","22","Spring 26","2","Final","1","2026-04-26T13:07:21.000000Z","https://diuqbank.com/questions/1187"
"1188","7","CIS","CIS","109","Bangladesh Studies","22","Spring 26","2","Final","1","2026-04-26T13:49:58.000000Z","https://diuqbank.com/questions/1188"
"1189","7","CIS","CIS","85","Data Structures","22","Spring 26","2","Final","2","2026-04-26T15:10:56.000000Z","https://diuqbank.com/questions/1189"
"1190","7","CIS","CIS","81","Web Development Essentials","1","Spring 24","2","Final","1","2026-04-27T01:06:47.000000Z","https://diuqbank.com/questions/1190"
"1191","7","CIS","CIS","81","Web Development Essentials","2","Fall 23","3","Quiz","1","2026-04-27T01:08:10.000000Z","https://diuqbank.com/questions/1191"
"1192","7","CIS","CIS","81","Web Development Essentials","13","Fall 25","3","Quiz","2","2026-04-27T01:08:43.000000Z","https://diuqbank.com/questions/1192"
"1193","7","CIS","CIS","81","Web Development Essentials","1","Spring 24","3","Quiz","1","2026-04-27T01:09:11.000000Z","https://diuqbank.com/questions/1193"
"1194","7","CIS","CIS","81","Web Development Essentials","10","Spring 25","3","Quiz","1","2026-04-27T01:09:37.000000Z","https://diuqbank.com/questions/1194"
"1195","4","Software Engineering","SWE","95","Structured Programming","22","Spring 26","2","Final","4","2026-04-27T04:35:24.000000Z","https://diuqbank.com/questions/1195"
"1196","1","Computer Science & Engineering","CSE","42","Theory of Computation","22","Spring 26","2","Final","2","2026-04-27T04:51:19.000000Z","https://diuqbank.com/questions/1196"
"1197","4","Software Engineering","SWE","170","Discrete Mathematics","22","Spring 26","2","Final","10","2026-04-27T05:04:50.000000Z","https://diuqbank.com/questions/1197"
"1199","9","TE","TE","243","Materials and Manufacturing Engineering","22","Spring 26","2","Final","3","2026-04-27T05:30:17.000000Z","https://diuqbank.com/questions/1199"
"1200","10","NFE","NFE","159","Technology of fruits and vegetable","22","Spring 26","2","Final","1","2026-04-27T07:45:27.000000Z","https://diuqbank.com/questions/1200"
"1201","10","NFE","NFE","158","Food chemistry","22","Spring 26","2","Final","1","2026-04-27T07:46:39.000000Z","https://diuqbank.com/questions/1201"
"1202","1","Computer Science & Engineering","CSE","87","Software Engineering","22","Spring 26","2","Final","1","2026-04-27T08:05:06.000000Z","https://diuqbank.com/questions/1202"
"1203","4","Software Engineering","SWE","72","Computer Fundamentals","22","Spring 26","2","Final","4","2026-04-27T08:25:33.000000Z","https://diuqbank.com/questions/1203"
"1204","4","Software Engineering","SWE","138","Digital Electronics and Logic Design","22","Spring 26","2","Final","5","2026-04-27T10:43:11.000000Z","https://diuqbank.com/questions/1204"
"1205","1","Computer Science & Engineering","CSE","33","Mathematics II","22","Spring 26","2","Final","2","2026-04-27T11:14:50.000000Z","https://diuqbank.com/questions/1205"
"1206","1","Computer Science & Engineering","CSE","18","Algorithms","22","Spring 26","2","Final","2","2026-04-27T12:45:33.000000Z","https://diuqbank.com/questions/1206"
"1207","2","Electrical & Electronic Engineering","EEE","231","Numerical methods","22","Spring 26","2","Final","2","2026-04-27T13:05:14.000000Z","https://diuqbank.com/questions/1207"
"1208","1","Computer Science & Engineering","CSE","12","Computer Fundamentals","22","Spring 26","2","Final","2","2026-04-27T14:01:41.000000Z","https://diuqbank.com/questions/1208"
"1209","2","Electrical & Electronic Engineering","EEE","74","Physics I","22","Spring 26","2","Final","1","2026-04-27T14:04:55.000000Z","https://diuqbank.com/questions/1209"
"1210","7","CIS","CIS","165","Computer Architecture And Organization","22","Spring 26","1","Mid","1","2026-04-27T14:09:51.000000Z","https://diuqbank.com/questions/1210"
"1211","1","Computer Science & Engineering","CSE","207","Computer Fundamental","22","Spring 26","2","Final","1","2026-04-27T14:20:15.000000Z","https://diuqbank.com/questions/1211"
"1213","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","22","Spring 26","4","Lab Final","1","2026-04-27T16:07:44.000000Z","https://diuqbank.com/questions/1213"
"1214","4","Software Engineering","SWE","89","Object oriented programming","22","Spring 26","4","Lab Final","2","2026-04-27T16:11:07.000000Z","https://diuqbank.com/questions/1214"
"1215","4","Software Engineering","SWE","47","Introduction to Robotics ","22","Spring 26","2","Final","3","2026-04-27T16:14:42.000000Z","https://diuqbank.com/questions/1215"
"1216","10","NFE","NFE","162","Basic human nutrition","22","Spring 26","2","Final","1","2026-04-27T18:48:48.000000Z","https://diuqbank.com/questions/1216"
"1217","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","10","Spring 25","2","Final","1","2026-04-28T03:22:33.000000Z","https://diuqbank.com/questions/1217"
"1218","4","Software Engineering","SWE","49","Algorithm Design and Analysis ","9","Fall 24","2","Final","1","2026-04-28T03:23:21.000000Z","https://diuqbank.com/questions/1218"
"1219","4","Software Engineering","SWE","47","Introduction to Robotics ","9","Fall 24","2","Final","1","2026-04-28T03:24:40.000000Z","https://diuqbank.com/questions/1219"
"1220","4","Software Engineering","SWE","47","Introduction to Robotics ","10","Spring 25","2","Final","1","2026-04-28T03:25:40.000000Z","https://diuqbank.com/questions/1220"
"1221","4","Software Engineering","SWE","89","Object oriented programming","22","Spring 26","3","Quiz","1","2026-04-28T03:31:41.000000Z","https://diuqbank.com/questions/1221"
"1222","8","GEB","GEB","232","Animal Breeding","22","Spring 26","2","Final","1","2026-04-28T04:49:15.000000Z","https://diuqbank.com/questions/1222"
"1223","1","Computer Science & Engineering","CSE","96","Mobile Application Design","22","Spring 26","2","Final","1","2026-04-28T04:49:58.000000Z","https://diuqbank.com/questions/1223"
"1224","4","Software Engineering","SWE","119","Design Pattern ","22","Spring 26","2","Final","2","2026-04-28T05:08:35.000000Z","https://diuqbank.com/questions/1224"
"1225","4","Software Engineering","SWE","89","Object oriented programming","9","Fall 24","2","Final","1","2026-04-28T06:13:06.000000Z","https://diuqbank.com/questions/1225"
"1226","2","Electrical & Electronic Engineering","EEE","74","Physics I","22","Spring 26","3","Quiz","1","2026-04-28T07:45:53.000000Z","https://diuqbank.com/questions/1226"
"1227","1","Computer Science & Engineering","CSE","1","Physics II","22","Spring 26","2","Final","2","2026-04-28T08:05:26.000000Z","https://diuqbank.com/questions/1227"
"1228","1","Computer Science & Engineering","CSE","25","Database management System","22","Spring 26","2","Final","1","2026-04-28T08:09:02.000000Z","https://diuqbank.com/questions/1228"
"1229","4","Software Engineering","SWE","141","Data Structures","22","Spring 26","2","Final","2","2026-04-28T11:26:09.000000Z","https://diuqbank.com/questions/1229"
